Source,Target
Nanny McPhee,Kelly Macdonald
Meredith Droeger,Extraordinary Measures
Thomas D. Mahard,Conviction
Jodelle Ferland,Tideland
The Spiderwick Chronicles,Freddie Highmore
The Spiderwick Chronicles,Sarah Bolger
The Spiderwick Chronicles,David Strathairn
The Spiderwick Chronicles,Mary-Louise Parker
Thomas Gibson,Far and Away
Flatliners,Kiefer Sutherland
Flatliners,Kevin Bacon
Flatliners,Julia Roberts
Flatliners,William Baldwin
Flatliners,Elliot Page
Flatliners,Diego Luna
Flatliners,Nina Dobrev
Flatliners,James Norton
Roy Scheider,2010: The Year We Make Contact
Roy Scheider,Blue Thunder
Keith Coogan,Adventures in Babysitting
St. Elmo's Fire,Demi Moore
St. Elmo's Fire,Rob Lowe
St. Elmo's Fire,Emilio Estevez
Ben Mendelsohn,Darkest Hour
Ben Mendelsohn,Mississippi Grind
Ben Mendelsohn,Trespass
Rachel Griffiths,The Rookie
Ben Is Back,Julia Roberts
Ben Is Back,Lucas Hedges
Ben Is Back,Courtney B. Vance
Ben Is Back,Kathryn Newton
The Cider House Rules,Tobey Maguire
The Cider House Rules,Michael Caine
The Cider House Rules,Delroy Lindo
One Night at McCool's,Liv Tyler
One Night at McCool's,Matt Dillon
One Night at McCool's,Mary Jo Smith
One Night at McCool's,Michael Douglas
Trace Adkins,I Can Only Imagine
Madison Pettis,The Game Plan
Joanne Whalley,Shattered
Jean Dujardin,The Artist
Klaus Maria Brandauer,Out of Africa
Richard Gere,Pretty Woman
Richard Gere,Unfaithful
Richard Gere,Internal Affairs
Richard Gere,The Cotton Club
Richard Gere,Nights in Rodanthe
Richard Gere,Runaway Bride
Atomic Blonde,James McAvoy
Atomic Blonde,John Goodman
Atomic Blonde,Eddie Marsan
Kate Beckinsale,Nothing But the Truth
Kate Beckinsale,Everybody's Fine
Kate Beckinsale,Underworld
Kate Beckinsale,Snow Angels
Kate Beckinsale,Vacancy
Cliffhanger,Sylvester Stallone
Cliffhanger,John Lithgow
Cliffhanger,Michael Rooker
Cliffhanger,Janine Turner
Maria de Medeiros,Henry & June
The Mummy Returns,Brendan Fraser
The Mummy Returns,Rachel Weisz
The Mummy Returns,John Hannah
The Mummy Returns,Arnold Vosloo
Allied,Brad Pitt
Allied,Marion Cotillard
Allied,Jared Harris
Allied,Vincent Ebrahim
Marg Helgenberger,A Dog's Journey
Marg Helgenberger,In Good Company
Melissa McCarthy,The Nines
Luis Guzmán,Anger Management
Barfly,Mickey Rourke
Barfly,Faye Dunaway
Barfly,Alice Krige
Barfly,Jack Nance
Savior,Dennis Quaid
Savior,Nastassja Kinski
Savior,Pascal Rollin
Savior,Catlin Foster
Turner & Hooch,Tom Hanks
Turner & Hooch,Mare Winningham
Turner & Hooch,Craig T. Nelson
Turner & Hooch,Reginald VelJohnson
Paul Walker,Pawn Shop Chronicles
Simon Helberg,Florence Foster Jenkins
Christopher Fitzgerald,Let Them All Talk
Kevin McCarthy,Innerspace
Bill Murray,Groundhog Day
Bill Murray,Fantastic Mr. Fox
Bill Murray,Mad Dog and Glory
Fair Game,Naomi Watts
Fair Game,Sean Penn
Fair Game,Sonya Davison
Fair Game,Vanessa Chong
Beatrice Straight,Poltergeist
Shattered,Pierce Brosnan
Shattered,Maria Bello
Shattered,Gerard Butler
Shattered,Emma Karwandy
Shattered,Tom Berenger
Shattered,Bob Hoskins
Shattered,Greta Scacchi
Licorice Pizza,Alana Haim
Licorice Pizza,Cooper Hoffman
Licorice Pizza,Sean Penn
Licorice Pizza,Tom Waits
The Road to Wellville,Anthony Hopkins
The Road to Wellville,Bridget Fonda
The Road to Wellville,Matthew Broderick
The Road to Wellville,John Cusack
Columbus Short,Armored
Felicity Jones,Rogue One: A Star Wars Story
Felicity Jones,Like Crazy
Felicity Jones,Inferno
Choi Min-sik,Oldboy
Brad Pitt,Fight Club
Brad Pitt,Se7en
Brad Pitt,Inglourious Basterds
Brad Pitt,Snatch
Brad Pitt,12 Years a Slave
Brad Pitt,12 Monkeys
Brad Pitt,The Big Short
Brad Pitt,The Curious Case of Benjamin Button
Brad Pitt,Ocean's Eleven
Brad Pitt,Once Upon a Time in Hollywood
Brad Pitt,Fury
Brad Pitt,Moneyball
Brad Pitt,Interview with the Vampire: The Vampire Chronicles
Brad Pitt,Sleepers
Brad Pitt,Legends of the Fall
Brad Pitt,Babel
Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford
Brad Pitt,Bullet Train
Brad Pitt,Megamind
Brad Pitt,Meet Joe Black
Brad Pitt,A River Runs Through It
Brad Pitt,Babylon
Brad Pitt,Seven Years in Tibet
Brad Pitt,World War Z
Brad Pitt,Burn After Reading
Brad Pitt,Spy Game
Brad Pitt,Ocean's Thirteen
Brad Pitt,The Tree of Life
Brad Pitt,Kalifornia
Brad Pitt,Sinbad: Legend of the Seven Seas
Brad Pitt,Ad Astra
Brad Pitt,Mr. & Mrs. Smith
Brad Pitt,Ocean's Twelve
Brad Pitt,Killing Them Softly
Brad Pitt,The Devil's Own
Brad Pitt,The Mexican
Brad Pitt,War Machine
Brad Pitt,By the Sea
Hesher,Joseph Gordon-Levitt
Hesher,Devin Brochu
Hesher,Natalie Portman
Hesher,Rainn Wilson
Richard McCabe,Notting Hill
Jesse Eisenberg,Adventureland
Jesse Eisenberg,Rio 2
Jesse Eisenberg,To Rome with Love
Saif Ali Khan,Cocktail
William Mapother,The Grudge
Stephanie Sigman,Shimmer Lake
Michael Cera,Juno
Margot Robbie,Once Upon a Time in Hollywood
Margot Robbie,Babylon
Margot Robbie,Bombshell
Danny Glover,Be Kind Rewind
Danny Glover,Switchback
Erin Brockovich,Julia Roberts
Erin Brockovich,Albert Finney
Erin Brockovich,David Brisbin
Erin Brockovich,Dawn Didawick
Mindhunters,Val Kilmer
Mindhunters,LL Cool J
Mindhunters,Christian Slater
Mindhunters,Eion Bailey
Rosie Perez,Fearless
Rosie Perez,Untamed Heart
Rosie Perez,It Could Happen to You
BD Wong,Seven Years in Tibet
Goldie Hawn,Everyone Says I Love You
Goldie Hawn,Death Becomes Her
Saxon Sharbino,Poltergeist
James Purefoy,Fisherman's Friends
Katherine Waterston,Inherent Vice
Katherine Waterston,Alien: Covenant
William Sadler,The Shawshank Redemption
William Sadler,Trespass
Nina Dobrev,Then Came You
Nina Dobrev,Let's Be Cops
Nina Dobrev,Love Hard
Nina Dobrev,The Out-Laws
Vanessa Redgrave,The Whistleblower
Vanessa Redgrave,Letters to Juliet
Road to Perdition,Tom Hanks
Road to Perdition,Tyler Hoechlin
Road to Perdition,Rob Maxey
Road to Perdition,Liam Aiken
It Takes Two,Kirstie Alley
It Takes Two,Steve Guttenberg
It Takes Two,Mary-Kate Olsen
It Takes Two,Ashley Olsen
Elisha Cuthbert,He Was a Quiet Man
Ciarán McMenamin,To End All Wars
Liam Hemsworth,The Hunger Games: Catching Fire
Liam Hemsworth,The Hunger Games
Liam Hemsworth,The Hunger Games: Mockingjay - Part 1
Liam Hemsworth,The Hunger Games: Mockingjay - Part 2
Liam Hemsworth,Paranoia
Lori Petty,A League of Their Own
Lori Petty,In the Army Now
The Godfather Part III,Al Pacino
The Godfather Part III,Diane Keaton
The Godfather Part III,Andy Garcia
The Godfather Part III,Talia Shire
John Gallagher Jr.,10 Cloverfield Lane
Avery Brooks,15 Minutes
Made in Dagenham,Sally Hawkins
Made in Dagenham,Bob Hoskins
Made in Dagenham,Andrea Riseborough
Made in Dagenham,Jaime Winstone
Al Pacino,The Godfather Part II
Al Pacino,Heat
Al Pacino,Carlito's Way
Al Pacino,The Irishman
Al Pacino,Glengarry Glen Ross
Al Pacino,The Devil's Advocate
Al Pacino,Any Given Sunday
Al Pacino,Sea of Love
Al Pacino,City Hall
Al Pacino,Righteous Kill
Teddy Geiger,The Rocker
Prakash Raj,Wanted
Michael Lerner,Barton Fink
Michael Lerner,The Postman Always Rings Twice
Cake,Jennifer Aniston
Cake,Adriana Barraza
Cake,Anna Kendrick
Cake,Sam Worthington
Tom Cullen,My Son
Joan Allen,Tucker: The Man and His Dream
Joan Allen,The Contender
Any Given Sunday,Dennis Quaid
Any Given Sunday,Cameron Diaz
Any Given Sunday,James Woods
Forrest Gump,Tom Hanks
Forrest Gump,Robin Wright
Forrest Gump,Sally Field
Brainscan,Edward Furlong
Brainscan,Frank Langella
Brainscan,T. Ryder Smith
Brainscan,Amy Hargreaves
Immortals,Henry Cavill
Immortals,Mickey Rourke
Immortals,John Hurt
Immortals,Stephen Dorff
Skeet Ulrich,Scream
That Thing You Do!,Tom Hanks
That Thing You Do!,Liv Tyler
That Thing You Do!,Tom Everett Scott
Chaos Theory,Ryan Reynolds
Chaos Theory,Emily Mortimer
Chaos Theory,Stuart Townsend
Chaos Theory,Sarah Chalke
Brandon McGibbon,Killshot
Meet the Parents,Ben Stiller
Meet the Parents,Robert De Niro
Meet the Parents,Teri Polo
Meet the Parents,Blythe Danner
The Whale,Brendan Fraser
The Whale,Sadie Sink
The Whale,Ty Simpkins
The Whale,Hong Chau
Iain Glen,The Colony
Babou Ceesay,The Best of Enemies
Noomi Rapace,Prometheus
Noomi Rapace,Child 44
The Untouchables,Kevin Costner
The Untouchables,Sean Connery
The Untouchables,Robert De Niro
The Untouchables,Charles Martin Smith
Mervyn Johns,A Christmas Carol
Strange World,Jake Gyllenhaal
Strange World,Jaboukie Young-White
Strange World,Gabrielle Union
Strange World,Dennis Quaid
Arthur Edmund Carewe,The Phantom of the Opera
Bonnie Mbuli,Catch a Fire
Alan Arkin,Argo
Alan Arkin,Glengarry Glen Ross
Alan Arkin,The Last Unicorn
Alan Arkin,Going in Style
Alan Arkin,Grudge Match
Austin Butler,Elvis
Marguerite Moreau,Queen of the Damned
James Saito,Love Hard
Dani Popescu,Borat Subsequent Moviefilm
Adria Arjona,Father of the Bride
In Time,Justin Timberlake
In Time,Amanda Seyfried
In Time,Cillian Murphy
In Time,Olivia Wilde
Hancock,Will Smith
Hancock,Jason Bateman
Hancock,Jae Head
Cuba Gooding Jr.,Jerry Maguire
Cuba Gooding Jr.,Men of Honor
Special Forces,Diane Kruger
Special Forces,Djimon Hounsou
Special Forces,Benoît Magimel
Special Forces,Denis Ménochet
Daisy Edgar-Jones,Where the Crawdads Sing
Romeo Is Bleeding,Gary Oldman
Romeo Is Bleeding,Lena Olin
Romeo Is Bleeding,Wallace Wood
Romeo Is Bleeding,Juliette Lewis
Death Becomes Her,Meryl Streep
Death Becomes Her,Bruce Willis
Death Becomes Her,Isabella Rossellini
Hollow Man,Kevin Bacon
Hollow Man,Elisabeth Shue
Hollow Man,Josh Brolin
Hollow Man,Kim Dickens
Hiroyuki Sanada,Life
J. Michael Finley,I Can Only Imagine
Benicio Del Toro,Sicario
Benicio Del Toro,21 Grams
Benicio Del Toro,Sicario: Day of the Soldado
Benicio Del Toro,Things We Lost in the Fire
Benicio Del Toro,The Pledge
Benicio Del Toro,A Perfect Day
Anthony Michael Hall,Edward Scissorhands
Anthony Michael Hall,Weird Science
Wilford Brimley,Remo Williams: The Adventure Begins
Helena Zengel,News of the World
Jada Pinkett Smith,Collateral
Jada Pinkett Smith,Reign Over Me
Jada Pinkett Smith,Scream 2
Thunder Road,Jim Cummings
Thunder Road,Kendal Farr
Thunder Road,Nican Robinson
Thunder Road,Jocelyn DeBoer
DragonHeart,Dennis Quaid
DragonHeart,Sean Connery
DragonHeart,Dina Meyer
DragonHeart,Pete Postlethwaite
Sally Struthers,The Getaway
The Uninvited,Ray Milland
The Uninvited,Ruth Hussey
The Uninvited,Donald Crisp
The Uninvited,Emily Browning
The Uninvited,Arielle Kebbel
The Uninvited,Elizabeth Banks
The Uninvited,David Strathairn
Hitman's Wife's Bodyguard,Ryan Reynolds
Hitman's Wife's Bodyguard,Samuel L. Jackson
Hitman's Wife's Bodyguard,Salma Hayek
Hitman's Wife's Bodyguard,Antonio Banderas
Martin Kove,The Karate Kid
Martin Landau,Tucker: The Man and His Dream
Scream 4,Neve Campbell
Scream 4,Courteney Cox
Scream 4,David Arquette
Scream 4,Lucy Hale
Charlotte Rampling,Angel Heart
Charlotte Rampling,Red Sparrow
Charlotte Rampling,D.O.A.
The One and Only Ivan,Sam Rockwell
The One and Only Ivan,Bryan Cranston
The One and Only Ivan,Phillipa Soo
The One and Only Ivan,Chaka Khan
Sandrine Holt,Air
Megan Fox,Jennifer's Body
Ted Danson,Three Men and a Baby
Ted Danson,Three Men and a Little Lady
Romola Garai,Rory O'Shea Was Here
Romola Garai,Dirty Dancing: Havana Nights
Laurie Metcalf,Internal Affairs
The Good Girl,Jennifer Aniston
The Good Girl,Jake Gyllenhaal
The Good Girl,Deborah Rush
The Good Girl,Mike White
The Manchurian Candidate,Frank Sinatra
The Manchurian Candidate,Laurence Harvey
The Manchurian Candidate,Janet Leigh
The Manchurian Candidate,Angela Lansbury
The Manchurian Candidate,Denzel Washington
The Manchurian Candidate,Liev Schreiber
The Manchurian Candidate,Meryl Streep
The Manchurian Candidate,Kimberly Elise
Evan Rachel Wood,The Wrestler
Evan Rachel Wood,Battle for Terra
Evan Rachel Wood,Into the Forest
David Warner,Tron
Tom Arnold,True Lies
Tom Arnold,Madea's Witness Protection
The Croods,Nicolas Cage
The Croods,Ryan Reynolds
The Croods,Emma Stone
The Croods,Catherine Keener
Sandra Kinder,Twin Peaks: The Missing Pieces
Ray Stevenson,The Book of Eli
Ray Stevenson,The Three Musketeers
Jonathan Majors,Captive State
Jeremy Slate,True Grit
Dylan McDermott,Three to Tango
Elle Fanning,The Door in the Floor
Elle Fanning,The Nines
Gattlin Griffith,Labor Day
Michael Hogan,Air
Be Kind Rewind,Jack Black
Be Kind Rewind,Yasiin Bey
Be Kind Rewind,Mia Farrow
Tucker: The Man and His Dream,Jeff Bridges
Tucker: The Man and His Dream,Frederic Forrest
Chasing Mavericks,Jonny Weston
Chasing Mavericks,Gerard Butler
Chasing Mavericks,Elisabeth Shue
Chasing Mavericks,Abigail Spencer
In Good Company,Dennis Quaid
In Good Company,Topher Grace
In Good Company,Scarlett Johansson
Fried Green Tomatoes,Kathy Bates
Fried Green Tomatoes,Jessica Tandy
Fried Green Tomatoes,Mary Stuart Masterson
Fried Green Tomatoes,Mary-Louise Parker
There's Something About Mary,Cameron Diaz
There's Something About Mary,Matt Dillon
There's Something About Mary,Ben Stiller
There's Something About Mary,Lee Evans
Danny McBride,Alien: Covenant
Jodie Comer,Free Guy
Justin Long,Waiting...
Justin Long,Comet
Justin Long,Drag Me to Hell
Justin Long,Battle for Terra
Corey Feldman,The Goonies
Corey Feldman,The 'Burbs
Mother!,Jennifer Lawrence
Mother!,Javier Bardem
Mother!,Ed Harris
Mother!,Michelle Pfeiffer
The Man with One Red Shoe,Tom Hanks
The Man with One Red Shoe,Lori Singer
The Man with One Red Shoe,Dabney Coleman
The Man with One Red Shoe,Charles Durning
Nora Arnezeder,The Colony
Peter Lawford,Ocean's Eleven
X: First Class,James McAvoy
X: First Class,Michael Fassbender
X: First Class,Jennifer Lawrence
X: First Class,Kevin Bacon
Army of Darkness,Bruce Campbell
Army of Darkness,Embeth Davidtz
Army of Darkness,Marcus Gilbert
Army of Darkness,Ian Abercrombie
Megamind,Will Ferrell
Megamind,Jonah Hill
Megamind,Tina Fey
Rooney Mara,Pan
Rooney Mara,Song to Song
Jerry O'Connell,Reign of the Supermen
Jerry O'Connell,Piranha 3D
Jerry O'Connell,"Yours, Mine & Ours"
Maureen O'Hara,The Hunchback of Notre Dame
Maureen O'Hara,The Parent Trap
54,Ryan Phillippe
54,Salma Hayek
54,Neve Campbell
Constantine,Keanu Reeves
Constantine,Rachel Weisz
Constantine,Djimon Hounsou
Constantine,Shia LaBeouf
Leigh McCloskey,Inferno
Arthur Christmas,James McAvoy
Arthur Christmas,Jim Broadbent
Arthur Christmas,Bill Nighy
Arthur Christmas,Hugh Laurie
Ric Young,Kiss of the Dragon
Dirty Dancing: Havana Nights,Diego Luna
Dirty Dancing: Havana Nights,Sela Ward
Dirty Dancing: Havana Nights,John Slattery
Queen Latifah,Beauty Shop
Ragtime,James Cagney
Ragtime,Elizabeth McGovern
Ragtime,Howard E. Rollins Jr.
Ragtime,Brad Dourif
Justin Theroux,Wanderlust
The Air I Breathe,Brendan Fraser
The Air I Breathe,Sarah Michelle Gellar
The Air I Breathe,Andy Garcia
The Air I Breathe,Kevin Bacon
Apollo 13,Tom Hanks
Apollo 13,Bill Paxton
Apollo 13,Kevin Bacon
Jodie Foster,Taxi Driver
Jodie Foster,Little Man Tate
Jeremy Piven,Old School
Jeremy Piven,Smokin' Aces
Thomas Mitchell,The Hunchback of Notre Dame
Brion James,Enemy Mine
Mickey Rourke,The Wrestler
Mickey Rourke,Buffalo '66
Mickey Rourke,Angel Heart
Mickey Rourke,Rumble Fish
Mickey Rourke,Diner
Mickey Rourke,Iron Man 2
Mickey Rourke,Year of the Dragon
